scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
sv_ctrl,binary_student_t,invalid,504,10000,0.7201581761557939,0.7924397328007637,0.3466693928329411,0.9624166453975291
sv_ctrl,ewma_gaussian,valid,63,10000,0.45526952181538144,0.454151312445204,0.2673737506288124,0.6426368979124325
sv_ctrl,ewma_gaussian,valid,126,10000,0.409565019172057,0.40433398040793234,0.14155096983290158,0.6864254048535787
sv_ctrl,ewma_gaussian,valid,252,10000,0.33720243042556286,0.2913372157996047,0.04580112143971575,0.7038534266259375
sv_ctrl,ewma_gaussian,valid,504,10000,0.2364286066436769,0.12574161834930742,0.005513107471090361,0.6711483335902529
sv_ctrl,ewma_gaussian,invalid,63,10000,0.5466820319924788,0.5476943744972578,0.3610636522515787,0.7325601781512616
sv_ctrl,ewma_gaussian,invalid,126,10000,0.5935567361308285,0.5987920710074592,0.3191670863757049,0.8585450846550746
sv_ctrl,ewma_gaussian,invalid,252,10000,0.6665594441092284,0.7133385136051196,0.2962776757710095,0.9587805173629669
sv_ctrl,ewma_gaussian,invalid,504,10000,0.7653598597532681,0.880521489135807,0.32256450863177377,0.9949079098021462
sv_ctrl,ewma_student_t,valid,63,10000,0.4462286216572633,0.44696406380919185,0.22842259312022187,0.6574183019546506
sv_ctrl,ewma_student_t,valid,126,10000,0.3970408565824674,0.3875069811691968,0.11179145749908118,0.6967351131661914
sv_ctrl,ewma_student_t,valid,252,10000,0.31970100114028244,0.26253996519759515,0.0315504556591351,0.7154296234674296
sv_ctrl,ewma_student_t,valid,504,10000,0.21848261184776344,0.09826242969641216,0.0027571129288578586,0.6661385530689752
sv_ctrl,ewma_student_t,invalid,63,10000,0.5552753089668108,0.5559478379296632,0.3474988141041241,0.7684444325004072
sv_ctrl,ewma_student_t,invalid,126,10000,0.6052553532000567,0.6162293347654109,0.3056208799835248,0.8888820927988543
sv_ctrl,ewma_student_t,invalid,252,10000,0.6807640354339842,0.7408185673347345,0.28688262332102876,0.9723777565331548
sv_ctrl,ewma_student_t,invalid,504,10000,0.7828507903832811,0.9081955698630257,0.3256470692555739,0.9972644919590551
jump_ctrl,binary_gaussian,valid,63,10000,0.4712035075049074,0.46901513420728014,0.3192022643893026,0.6283661965621311
jump_ctrl,binary_gaussian,valid,126,10000,0.446023004149345,0.4393498898780831,0.2424424543766421,0.6613040829310408
jump_ctrl,binary_gaussian,valid,252,10000,0.3982242510603139,0.3768445964872982,0.14334827263115404,0.6879867643974278
jump_ctrl,binary_gaussian,valid,504,10000,0.32247031613523675,0.26568987062638716,0.057133129657930666,0.6907455029350436
jump_ctrl,binary_gaussian,invalid,63,10000,0.5284532462974948,0.5318212455113773,0.3743830381418248,0.6776124880315751
jump_ctrl,binary_gaussian,invalid,126,10000,0.5541155067210347,0.5620201573990631,0.33977009553312265,0.7552970499452782
jump_ctrl,binary_gaussian,invalid,252,10000,0.5968881453237167,0.6187825573098398,0.3037274947957529,0.8508183344401071
jump_ctrl,binary_gaussian,invalid,504,10000,0.6723694902488131,0.7295384529703695,0.3011366363368996,0.9445632671652247
jump_ctrl,binary_student_t,valid,63,10000,0.46513980637324287,0.46211833844697964,0.2878982231028342,0.6441479027306598
jump_ctrl,binary_student_t,valid,126,10000,0.4362028351328201,0.42716251080617085,0.2061749648642946,0.6828210654470075
jump_ctrl,binary_student_t,valid,252,10000,0.38243427225114657,0.35087059722860703,0.10890800137136493,0.7073724679050104
jump_ctrl,binary_student_t,valid,504,10000,0.301553542885259,0.22608230379966035,0.03409850793355208,0.7099511316410967
jump_ctrl,binary_student_t,invalid,63,10000,0.5340896730983803,0.5383783395295998,0.35442734570183515,0.7069187296611701
jump_ctrl,binary_student_t,invalid,126,10000,0.5637228639508598,0.5746355648777918,0.3194585505192213,0.7908062920626912
jump_ctrl,binary_student_t,invalid,252,10000,0.6122843472623957,0.6442142918795546,0.2820347920282697,0.8859051749036911
jump_ctrl,binary_student_t,invalid,504,10000,0.692919980895831,0.7686232871090344,0.2871909675959513,0.9645711968889737
jump_ctrl,ewma_gaussian,valid,63,10000,0.4674283805753703,0.46424226866376844,0.2865422862168972,0.6520594231085368
jump_ctrl,ewma_gaussian,valid,126,10000,0.439947604491281,0.4305886165125066,0.2012967324206107,0.6960282136779143
jump_ctrl,ewma_gaussian,valid,252,10000,0.38920708663684334,0.3543694354956073,0.10452443717940559,0.7308443371763048
jump_ctrl,ewma_gaussian,valid,504,10000,0.3129830172085922,0.2383935962406899,0.03316675945223752,0.7378118748331997
jump_ctrl,ewma_gaussian,invalid,63,10000,0.5316214808996341,0.5374399782607067,0.3494828764503244,0.7060597660509925
jump_ctrl,ewma_gaussian,invalid,126,10000,0.5598870191516636,0.5720377076335201,0.30931476931616414,0.7944381353597996
