day,path_index,return,true_variance,forecast_variance,ratio_forecast_over_true,qlike
242,0,0.002801494252875201,1.058462987700902e-05,7.3719061418211246e-06,0.696472737117971,0.07407975157349034
243,0,0.0008794043839626816,1.4256729429059428e-05,7.336153788062832e-06,0.5145748065548318,0.2789377022319457
244,0,0.0026969878590211082,1.5259562589836283e-05,6.923809541326354e-06,0.4537357804697492,0.413685583812889
245,0,-0.004649907464098984,2.059474944850679e-05,6.882953638839332e-06,0.3342091466589013,0.896150041742265
246,0,-0.002119295362334431,2.5167382104566034e-05,7.880348924402012e-06,0.31311754602288594,1.032512188042276
247,0,-0.003823983716069884,1.74582486412883e-05,7.729834228229024e-06,0.44276114901629765,0.44382925961117037
248,0,-0.0017073690211567585,1.8540281341631272e-05,8.236824549449823e-06,0.4442664271201995,0.4395707383864047
249,0,-0.0010061831680048391,2.013293337323187e-05,7.960535314241541e-06,0.39539868168568143,0.6012322013620468
250,0,0.0024353496714569502,2.979535992023981e-05,7.569966267470462e-06,0.2540652735101961,1.565832329862796
251,0,0.0005582047910463145,3.149649648272468e-05,7.416001512704577e-06,0.23545480738697822,1.8008632377667233
252,0,-0.00396762800345857,3.372845531334928e-05,6.978808442937602e-06,0.20691159373004198,2.2575183005352946
253,0,-0.0014687191132737093,2.472103772582362e-05,7.601433644140229e-06,0.3074884528896521,1.0728368998461644
254,0,0.009208235387549396,2.267869404262941e-05,7.312107334144023e-06,0.3224218872744334,0.9696320324311125
255,0,-0.0026011099543911294,1.855671716677283e-05,1.1743995187476333e-05,0.6328703014617705,0.12261281325419171
256,0,0.00010739084455533203,1.6883940250665085e-05,1.150959510124146e-05,0.6816889263030932,0.08376291737813513
257,0,0.002519430567436877,1.897775274760698e-05,1.081951649383975e-05,0.570115789668724,0.19211385271885684
258,0,0.0009618132934077871,2.205550950024119e-05,1.0493572941109138e-05,0.4757801192937477,0.35901176901313203
259,0,0.007517817660772653,2.5757612231929657e-05,9.89892539274892e-06,0.3843106769220639,0.6457574581576586
260,0,-0.001372385599227282,3.0698967229687385e-05,1.2519411209365158e-05,0.40781212982495,0.5551608287548229
261,0,-0.0034737634951404555,3.267637963610083e-05,1.1916290974315368e-05,0.36467598635530174,0.733414238429505
262,0,-0.015166834095103743,4.028469533430521e-05,1.2010406195646356e-05,0.2981381910916095,1.143951111916039
263,0,0.004581455922066317,3.841599424699476e-05,2.5455230365447624e-05,0.6626206314428256,0.09760651421986077
264,0,0.007648216049131398,3.75619673047781e-05,2.508058061754572e-05,0.6677121145983034,0.09375326061463274
265,0,0.003762996546435126,3.485869371363127e-05,2.6905719978355754e-05,0.7718510681837296,0.03662306366012946
266,0,-0.005128294484846386,3.131234752593881e-05,2.605375226022935e-05,0.8320600120654227,0.017985677725147253
267,0,-0.0021471895247784038,2.109482716936812e-05,2.6192955689586627e-05,1.2416767143568503,0.02182526567256904
268,0,-0.009202438462095187,2.0836689611743695e-05,2.495148933557777e-05,1.1974785726766763,0.015306168203388593
269,0,0.0078013775332695726,1.5182804817368228e-05,2.8756960127964452e-05,1.8940479360617346,0.16668604580136526
270,0,-0.0016124358013983437,1.2989371618318383e-05,3.04998469770908e-05,2.3480617749112747,0.27947338459080884
271,0,6.117067409368014e-05,1.2483844333713755e-05,2.8866606495821424e-05,2.312317081515069,0.27071672788463097
272,0,0.0009738391662415976,1.1441893526119154e-05,2.7135740228466488e-05,2.371612720090601,0.28522420061096465
273,0,0.003473394810773408,1.461307463405135e-05,2.5543672987179072e-05,1.748001267827461,0.13055496746548112
274,0,0.0030137333544216767,1.1808146741124388e-05,2.4654583078125284e-05,2.0879299367326154,0.2151163883574474
275,0,0.003069350145975089,1.3242900957837122e-05,2.3650869917206818e-05,1.7859281733289927,0.1398711980216092
276,0,-0.004409654093704424,1.0186235292682426e-05,2.272635463184337e-05,2.2310847902923956,0.2507003791956832
277,0,-0.004461586782176724,1.190119526294349e-05,2.2636830127569523e-05,1.9020635849958165,0.16868417361499466
278,0,-0.003445824284620521,1.1076612978348415e-05,2.2581556029460972e-05,2.038669769685138,0.20281345244127413
279,0,0.00534047666278387,8.588002163910826e-06,2.2023490459003735e-05,2.564448638771025,0.3316908690180995
