scenario,method,far_target,n_valid_paths,n_first_alarms,far_total,window_days,p_label_theory,mean_usable_lookback_days,n_on_label_day,share_on_label_day,prob_on_label_day,share_on_label_day_theory,prob_on_label_day_theory,n_within_window,share_within_window,prob_within_window,share_within_window_theory,prob_within_window_theory,n_elsewhere,share_elsewhere,prob_elsewhere,share_elsewhere_theory,prob_elsewhere_theory,share_sum,prob_sum,class2_asymptotic_theory
sv_ctrl,binary_student_t,0.05,10000,447,0.0447,20,0.007905097010013639,20.0,6,0.013422818791946308,0.0006,0.007905097010013639,0.00035335783634760966,51,0.11409395973154363,0.0051,0.14561317809937208,0.006508909061041931,390,0.87248322147651,0.039,0.8464817248906142,0.03783773310261045,1.0,0.044700000000000004,0.14561317809937208
sv_ctrl,binary_student_t,0.15,10000,1437,0.1437,20,0.007905097010013639,20.0,9,0.006263048016701462,0.0009,0.007905097010013639,0.0011359624403389599,214,0.1489213639526792,0.0214,0.14561317809937213,0.020924613692879776,1214,0.8448155880306193,0.1214,0.8464817248906142,0.12163942386678127,0.9999999999999999,0.1437,0.14561317809937208
sv_ctrl,ewma_gaussian,0.05,10000,441,0.0441,20,0.007905097010013639,20.0,4,0.009070294784580499,0.0004,0.007905097010013639,0.00034861477814160147,65,0.1473922902494331,0.0065,0.1456131780993721,0.0064215411541823095,372,0.8435374149659864,0.0372,0.8464817248906142,0.03732984406767609,1.0,0.04409999999999999,0.14561317809937208
sv_ctrl,ewma_gaussian,0.15,10000,1446,0.1446,20,0.007905097010013639,20.0,10,0.006915629322268326,0.001,0.007905097010013639,0.0011430770276479722,206,0.14246196403872752,0.0206,0.1456131780993721,0.021055665553169206,1230,0.8506224066390041,0.123,0.8464817248906142,0.12240125741918283,1.0,0.1446,0.14561317809937208
sv_ctrl,ewma_student_t,0.05,10000,445,0.0445,20,0.007905097010013639,20.0,6,0.01348314606741573,0.0006,0.007905097010013639,0.0003517768169456069,73,0.16404494382022472,0.0073,0.1456131780993721,0.006479786425422058,366,0.8224719101123595,0.0366,0.8464817248906142,0.03766843675763233,1.0,0.0445,0.14561317809937208
sv_ctrl,ewma_student_t,0.15,10000,1446,0.1446,20,0.007905097010013639,20.0,15,0.01037344398340249,0.0015,0.007905097010013639,0.0011430770276479722,201,0.13900414937759337,0.0201,0.1456131780993721,0.021055665553169206,1230,0.8506224066390041,0.123,0.8464817248906142,0.12240125741918283,1.0,0.1446,0.14561317809937208
sv_ctrl,ewma_trunc_gaussian,0.05,10000,445,0.0445,20,0.007905097010013639,20.0,5,0.011235955056179775,0.0005,0.007905097010013639,0.0003517768169456069,67,0.15056179775280898,0.0067,0.1456131780993721,0.006479786425422058,373,0.8382022471910112,0.0373,0.8464817248906142,0.03766843675763233,1.0,0.0445,0.14561317809937208
sv_ctrl,ewma_trunc_gaussian,0.15,10000,1427,0.1427,20,0.007905097010013639,20.0,11,0.007708479327259986,0.0011,0.007905097010013639,0.0011280573433289462,202,0.14155571128241065,0.0202,0.1456131780993721,0.020779000514780398,1214,0.8507358093903293,0.1214,0.8464817248906142,0.12079294214189065,1.0,0.1427,0.14561317809937208
sv_ctrl,ewma_trunc_student_t,0.05,10000,446,0.0446,20,0.007905097010013639,20.0,5,0.011210762331838564,0.0005,0.007905097010013639,0.0003525673266466083,73,0.16367713004484305,0.0073,0.14561317809937208,0.006494347743231994,368,0.8251121076233184,0.0368,0.8464817248906142,0.037753084930121396,1.0,0.0446,0.14561317809937208
sv_ctrl,ewma_trunc_student_t,0.15,10000,1450,0.145,20,0.007905097010013639,20.0,15,0.010344827586206896,0.0015,0.007905097010013639,0.0011462390664519777,204,0.1406896551724138,0.0204,0.1456131780993721,0.021113910824408954,1231,0.8489655172413794,0.1231,0.8464817248906142,0.12273985010913906,1.0,0.145,0.14561317809937208
