scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,in_stage2c_coverage,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
jump_ctrl,trailing_sharpe_252,transfer,0.15,-1.0216678503228327,252,1323,0.1258002861754433,0.13908210622635225,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0216,0.1493,0.14244971436817414,0.1564196220890184,0.1323,0.5234,0.5136038079285228,0.5331782209477296,410.8924,1.0618861814951002,484,,0.4766,10000,10000
jump_ctrl,known_vol_rolling_252,transfer,0.15,-1.0138173399256876,252,1345,0.12795298623966514,0.14132771656929946,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0232,0.1471,0.140293221622136,0.15417780442788756,0.1345,0.5167,0.5069011135618274,0.526486060892592,412.075,1.060791254351454,489,,0.48329999999999995,10000,10000
jump_ctrl,ewma_gaussian,transfer,0.15,-1.7486128807272068,1,1270,0.120616762317256,0.1336697004672687,True,0.0006,0.0025,0.0016939976111583195,0.0036880807676648924,0.0143,0.061,0.05647565931482029,0.06586149125463374,0.0619,0.2515,0.24309272196880402,0.2600981252214222,0.127,0.5224,0.5126032938378744,0.5321795030351193,381.753,1.4381823514240448,475,,0.4776,10000,10000
jump_ctrl,ewma_student_t,transfer,0.15,-1.8676400867598089,1,1250,0.11866167283006009,0.13162632594794738,True,0.0013,0.0045,0.003364971291591769,0.006015571093748737,0.0167,0.0688,0.06400283172344769,0.07392832847142382,0.0632,0.2617,0.253177454749552,0.2704055588739124,0.125,0.5408,0.5310190566757862,0.5505496090571664,376.4528,1.4653783097122248,459,,0.45920000000000005,10000,10000
sv_ctrl,binary_gaussian,diagnostic,0.05,-2.1032716197848558,1,477,0.0436935891355785,0.052053775790535536,True,0.0021,0.0031,0.002184864524503692,0.004396753056274708,0.0082,0.0184,0.01594490255979073,0.021224964670844962,0.0223,0.0816,0.0763938032587989,0.08712752657778329,0.0477,0.3064,0.2974403788433664,0.3155083053257596,449.9115,1.032480183009742,,not reached within 504d,0.6936,10000,10000
sv_ctrl,binary_student_t,diagnostic,0.05,-2.0691033379520687,1,439,0.04005666463531619,0.04809361867841499,True,0.0001,0.0006,0.0002750134763309977,0.001308524096300786,0.0037,0.02,0.01743471167513658,0.022933926760712948,0.0164,0.1427,0.13598184545192657,0.14969255978375892,0.0439,0.44,0.43029587539392633,0.4497502044105548,419.3633,1.2011880438060722,,not reached within 504d,0.56,10000,10000
sv_ctrl,trailing_sharpe_252,diagnostic,0.05,-1.5081159728256497,252,415,0.037763827388615986,0.04558829911729445,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0047,0.0686,0.06380958491786005,0.07372172887635971,0.0415,0.3147,0.3056706245249012,0.32387168527127147,451.6201,0.897775048440733,,not reached within 504d,0.6853,10000,10000
sv_ctrl,known_vol_rolling_252,diagnostic,0.05,-1.6932783592225904,252,467,0.042735761876580645,0.05101237104627474,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0075,0.0437,0.03986546628744224,0.04788497062563722,0.0467,0.2052,0.1973986436185906,0.2132277618207603,470.4575,0.7583494371079048,,not reached within 504d,0.7948,10000,10000
sv_ctrl,ewma_gaussian,diagnostic,0.05,-2.6968258352952716,1,403,0.03661872063908074,0.04433432746291932,True,0.0,0.0004,0.00015556283662307484,0.0010281283353569795,0.0034,0.0449,0.04101299418343707,0.04913652113355277,0.0154,0.2001,0.19237449548579028,0.2080558267369415,0.0403,0.5054,0.495600559437186,0.5151952933804107,397.0645,1.3452831198830468,499,,0.49460000000000004,10000,10000
sv_ctrl,ewma_student_t,diagnostic,0.05,-2.884871089419469,1,428,0.03900535884286428,0.046945769267282375,True,0.0001,0.0021,0.0013739917049838345,0.0032083938725359184,0.0042,0.0596,0.055126820516927424,0.0644114052479645,0.0194,0.2238,0.21573801451255628,0.23207410618740545,0.0428,0.5306,0.5208086704142505,0.5403678288854641,387.1889,1.4017040625991317,474,,0.46940000000000004,10000,10000
sv_ctrl,binary_gaussian,diagnostic,0.15,-1.3426982053585328,1,1402,0.13353318111910328,0.14714314410843554,True,0.014,0.0232,0.020427485405598345,0.026338695440678853,0.0374,0.0911,0.08561609300517202,0.09689794086236729,0.0804,0.273,0.2643567530453544,0.28181758221493275,0.1402,0.5679,0.5581667187469204,0.5775811342743418,368.1779,1.5156805316115896,432,,0.43210000000000004,10000,10000
sv_ctrl,binary_student_t,diagnostic,0.15,-1.3425281030884502,1,1464,0.1396071761595279,0.15346438748821462,True,0.0079,0.0244,0.021553719498578837,0.027611539751608738,0.0351,0.1379,0.13128105508810847,0.1447970365319355,0.0879,0.3899,0.3803847394146342,0.3994998170265887,0.1464,0.6712,0.661928330015827,0.6803401889420533,327.1559,1.5872118710718388,331,,0.3288,10000,10000
sv_ctrl,trailing_sharpe_252,diagnostic,0.15,-0.936183552530239,252,1387,0.13206433230526918,0.14561314491738173,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0228,0.177,0.16964387034837128,0.18460419259908575,0.1387,0.5757,0.5659858944708579,0.5853559681758217,399.2583,1.079324729772384,438,,0.4243,10000,10000
