detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,sharpe_valid
ewma_trunc_student_t,504,0.6000000000000001,0.7000000000000001,916,0.6511880840487826,0.6331877729257642,0.018000311123018364,sv_jump,1.0
ewma_trunc_student_t,504,0.7000000000000001,0.8,1068,0.7525027011993205,0.7425093632958801,0.009993337903440369,sv_jump,1.0
ewma_trunc_student_t,504,0.8,0.9,1436,0.8541063911019415,0.8084958217270195,0.04561056937492203,sv_jump,1.0
ewma_trunc_student_t,504,0.9,1.0,5748,0.9727813387894605,0.960160055671538,0.012621283117922544,sv_jump,1.0
binary_gaussian,63,0.1,0.2,5,0.16091849438546915,0.2,-0.03908150561453086,sv_jump,0.6
binary_gaussian,63,0.2,0.30000000000000004,124,0.272616125658887,0.3951612903225806,-0.12254516466369364,sv_jump,0.6
binary_gaussian,63,0.30000000000000004,0.4,1445,0.3677430823031198,0.3785467128027682,-0.010803630499648387,sv_jump,0.6
binary_gaussian,63,0.4,0.5,8334,0.46052578949588524,0.4407247420206383,0.019801047475246913,sv_jump,0.6
binary_gaussian,63,0.5,0.6000000000000001,8599,0.5391793492653068,0.55692522386324,-0.017745874597933198,sv_jump,0.6
binary_gaussian,63,0.6000000000000001,0.7000000000000001,1346,0.6332417161673723,0.6322436849925706,0.0009980311748017945,sv_jump,0.6
binary_gaussian,63,0.7000000000000001,0.8,140,0.7293578042954101,0.6142857142857143,0.11507209000969576,sv_jump,0.6
binary_gaussian,63,0.8,0.9,7,0.8341429670777182,0.5714285714285714,0.2627143956491468,sv_jump,0.6
binary_gaussian,126,0.1,0.2,49,0.17144297106535294,0.24489795918367346,-0.07345498811832052,sv_jump,0.6
binary_gaussian,126,0.2,0.30000000000000004,448,0.2643799590828558,0.3236607142857143,-0.059280755202858526,sv_jump,0.6
binary_gaussian,126,0.30000000000000004,0.4,2504,0.361750132504137,0.36701277955271566,-0.00526264704857865,sv_jump,0.6
binary_gaussian,126,0.4,0.5,6992,0.454741409926867,0.42705949656750575,0.027681913359361265,sv_jump,0.6
binary_gaussian,126,0.5,0.6000000000000001,7025,0.5452170644526995,0.5686832740213523,-0.023466209568652863,sv_jump,0.6
binary_gaussian,126,0.6000000000000001,0.7000000000000001,2455,0.6376688857969323,0.6435845213849287,-0.0059156355879964595,sv_jump,0.6
binary_gaussian,126,0.7000000000000001,0.8,467,0.7359524526252861,0.69593147751606,0.04002097510922609,sv_jump,0.6
binary_gaussian,126,0.8,0.9,57,0.8295297515516484,0.6491228070175439,0.18040694453410455,sv_jump,0.6
binary_gaussian,126,0.9,1.0,3,0.914322041112385,0.3333333333333333,0.5809887077790516,sv_jump,0.6
binary_gaussian,252,0.0,0.1,17,0.07994996706628947,0.17647058823529413,-0.09652062116900466,sv_jump,0.6
