detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,brier
ewma_trunc_student_t,504,0.4,0.5,824,0.44809935456049205,0.45024271844660196,-0.002143363886109917,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.5,0.6000000000000001,763,0.549702373441836,0.5504587155963303,-0.0007563421544942717,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.6000000000000001,0.7000000000000001,876,0.6493053473445045,0.6461187214611872,0.0031866258833173067,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.7000000000000001,0.8,988,0.7519387740991237,0.6730769230769231,0.07886185102220056,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.8,0.9,1544,0.8538981160394576,0.8277202072538861,0.02617790878557158,sv_jump,0.10734004329716731
ewma_trunc_student_t,504,0.9,1.0,5747,0.9727827029438022,0.9606751348529667,0.012107568090835463,sv_jump,0.10734004329716731
ewma_gaussian,63,0.0,0.1,282,0.054205118750890575,0.3191489361702128,-0.2649438174193222,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.1,0.2,804,0.1585818206312533,0.24875621890547264,-0.09017439827421933,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.2,0.30000000000000004,1892,0.25495039961395566,0.2880549682875264,-0.033104568673570756,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.30000000000000004,0.4,3095,0.353669257915538,0.37705977382875605,-0.023390515913218057,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.4,0.5,3928,0.4507172995745625,0.454938900203666,-0.0042216006291034835,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.5,0.6000000000000001,3973,0.5492876139462893,0.5466901585703499,0.0025974553759394725,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.6000000000000001,0.7000000000000001,3004,0.6466393484380705,0.6311584553928096,0.015480893045260902,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.7000000000000001,0.8,1891,0.7448173055063319,0.6975145425700687,0.04730276293626312,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.8,0.9,854,0.8415232258185581,0.7505854800936768,0.09093774572488134,sv_jump_big,0.23337387522019554
ewma_gaussian,63,0.9,1.0,277,0.9457949918101826,0.6606498194945848,0.2851451723155978,sv_jump_big,0.23337387522019554
ewma_gaussian,126,0.0,0.1,1562,0.04925383318015505,0.21062740076824585,-0.1613735675880908,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.1,0.2,1761,0.15073887903912844,0.2663259511641113,-0.11558707212498284,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.2,0.30000000000000004,2018,0.25118371028399866,0.30822596630327054,-0.057042256019271875,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.30000000000000004,0.4,2156,0.35068705148228746,0.3974953617810761,-0.046808310298788625,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.4,0.5,2407,0.44982083287413627,0.45616950560864145,-0.0063486727345051785,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.5,0.6000000000000001,2371,0.5506942123815731,0.5347954449599325,0.015898767421640647,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.6000000000000001,0.7000000000000001,2327,0.6488540838951657,0.6102277610657499,0.038626322829415805,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.7000000000000001,0.8,2070,0.7495257367828122,0.6806763285024154,0.06884940828039676,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.8,0.9,1782,0.8487930763207963,0.7317620650953984,0.11703101122539783,sv_jump_big,0.2246081549277071
ewma_gaussian,126,0.9,1.0,1546,0.951381527387495,0.7917205692108668,0.1596609581766283,sv_jump_big,0.2246081549277071
ewma_gaussian,252,0.0,0.1,3678,0.03698667477283738,0.17672648178357803,-0.13973980701074065,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.1,0.2,1967,0.14739060068461138,0.2653787493645145,-0.11798814867990312,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.2,0.30000000000000004,1563,0.2495090246526724,0.3486884197056942,-0.09917939505302178,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.30000000000000004,0.4,1441,0.3491450958037897,0.4080499653018737,-0.05890486949808399,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.4,0.5,1358,0.4493924988177879,0.4734904270986745,-0.024097928280886582,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.5,0.6000000000000001,1357,0.5494158224086294,0.5350036845983788,0.014412137810250636,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.6000000000000001,0.7000000000000001,1453,0.6499348049140755,0.5946317962835512,0.055303008630524286,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.7000000000000001,0.8,1590,0.7507277978324373,0.6566037735849056,0.09412402424753163,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.8,0.9,1874,0.8507659497957771,0.724119530416222,0.12664641937955512,sv_jump_big,0.20773074502212072
ewma_gaussian,252,0.9,1.0,3719,0.9634496457727407,0.8230707179349287,0.14037892783781203,sv_jump_big,0.20773074502212072
ewma_gaussian,504,0.0,0.1,5982,0.023844485329980108,0.14476763624205952,-0.1209231509120794,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.1,0.2,1391,0.14542974469956865,0.299784327821711,-0.15435458312214234,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.2,0.30000000000000004,1050,0.24867371438044106,0.3523809523809524,-0.10370723800051135,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.30000000000000004,0.4,858,0.3478421436613931,0.4114219114219114,-0.06357976776051832,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.4,0.5,783,0.45092433439473906,0.47509578544061304,-0.024171451045873982,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.5,0.6000000000000001,772,0.5481751371581282,0.5194300518134715,0.028745085344656696,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.6000000000000001,0.7000000000000001,822,0.6507202594773198,0.6009732360097324,0.049747023467587415,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.7000000000000001,0.8,991,0.7518985746802714,0.6387487386478304,0.113149836032441,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.8,0.9,1394,0.8537212382248492,0.6893830703012912,0.16433816792355804,sv_jump_big,0.17688728079326638
ewma_gaussian,504,0.9,1.0,5957,0.9765805999055304,0.8616753399362095,0.11490525996932088,sv_jump_big,0.17688728079326638
ewma_student_t,63,0.0,0.1,158,0.07259147825126692,0.04430379746835443,0.028287680782912494,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.1,0.2,778,0.15905872306288302,0.14267352185089974,0.01638520121198328,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.2,0.30000000000000004,1828,0.255275903529677,0.22921225382932167,0.026063649700355324,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.30000000000000004,0.4,3031,0.35439574229992654,0.3510392609699769,0.0033564813299496454,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.4,0.5,4243,0.4514529643517702,0.4442611359886873,0.007191828363082908,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.5,0.6000000000000001,4188,0.5483171909463763,0.5690066857688634,-0.020689494822487053,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.6000000000000001,0.7000000000000001,3075,0.6458881209315479,0.6465040650406504,-0.0006159441091024842,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.7000000000000001,0.8,1790,0.7444369859355641,0.7603351955307263,-0.015898209595162194,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.8,0.9,772,0.8399212038269969,0.844559585492228,-0.004638381665231117,sv_jump_big,0.21563567148905494
ewma_student_t,63,0.9,1.0,137,0.9281929456254818,0.948905109489051,-0.020712163863569222,sv_jump_big,0.21563567148905494
ewma_student_t,126,0.0,0.1,1160,0.0545159880452709,0.05517241379310345,-0.000656425747832548,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.1,0.2,1699,0.15232459066028914,0.16539140670982933,-0.013066816049540186,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.2,0.30000000000000004,2103,0.2522148005149686,0.24346172135045174,0.008753079164516842,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.30000000000000004,0.4,2468,0.35130273145271956,0.3565640194489465,-0.005261287996226938,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.4,0.5,2585,0.44998664847550224,0.4518375241779497,-0.0018508757024474631,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.5,0.6000000000000001,2633,0.5494845725835916,0.5545005696923662,-0.005015997108774539,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.6000000000000001,0.7000000000000001,2436,0.6492968812024646,0.6518883415435139,-0.00259146034104929,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.7000000000000001,0.8,2124,0.7487984262536266,0.743879472693032,0.0049189535605945744,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.8,0.9,1661,0.8471033567625278,0.8464780252859723,0.000625331476555524,sv_jump_big,0.18814372228492107
ewma_student_t,126,0.9,1.0,1131,0.9457205008714139,0.9381078691423519,0.007612631729062014,sv_jump_big,0.18814372228492107
ewma_student_t,252,0.0,0.1,3249,0.04072685569231033,0.04647583871960603,-0.0057489830272957,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.1,0.2,2067,0.14800844653273182,0.14755684567005323,0.0004516008626785917,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.2,0.30000000000000004,1701,0.24899091572939613,0.26631393298059963,-0.0173230172512035,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.30000000000000004,0.4,1471,0.35064527471463763,0.3745751189666893,-0.02392984425205169,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.4,0.5,1509,0.4492495939247589,0.4585818422796554,-0.009332248354896544,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.5,0.6000000000000001,1484,0.5509306966989566,0.5336927223719676,0.017237974326988925,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.6000000000000001,0.7000000000000001,1591,0.6517135708482557,0.6473915776241358,0.004321993224119858,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.7000000000000001,0.8,1649,0.7515626343440518,0.7355973317161917,0.015965302627860112,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.8,0.9,1988,0.8518035667105585,0.8435613682092555,0.008242198501302922,sv_jump_big,0.14533403351618027
ewma_student_t,252,0.9,1.0,3291,0.9579404983968389,0.9529018535399575,0.005038644856881436,sv_jump_big,0.14533403351618027
ewma_student_t,504,0.0,0.1,6113,0.026082407284912037,0.033698674955013906,-0.007616267670101869,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.1,0.2,1399,0.14736747104189413,0.15582558970693353,-0.008458118665039399,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.2,0.30000000000000004,953,0.24714092949225983,0.2633788037775446,-0.016237874285284754,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.30000000000000004,0.4,795,0.34839004672561374,0.3522012578616352,-0.003811211136021453,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.4,0.5,721,0.45130005633774767,0.4507628294036061,0.0005372269341415437,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.5,0.6000000000000001,751,0.5519260291407944,0.521970705725699,0.029955323415095325,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.6000000000000001,0.7000000000000001,812,0.6517311146985244,0.6551724137931034,-0.00344129909457902,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.7000000000000001,0.8,995,0.7531009644683991,0.7477386934673367,0.0053622710010624575,sv_jump_big,0.09175382389427858
ewma_student_t,504,0.8,0.9,1433,0.8543587227615336,0.8422889043963713,0.0120698183651623,sv_jump_big,0.09175382389427858
