scenario,far_target,kind,sharpe_valid,method_a,method_b,point,lo,hi,excludes_zero,n_reps,interval_type,resampling,note
jump_ctrl,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.0107999999999999,-0.0215999999999999,0.0024999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
jump_ctrl,0.15,far_diff,1.0,ewma_student_t,binary_student_t,0.0013999999999999846,-0.0041999999999999,0.0074999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,-0.0007999999999999952,-0.0046999999999999,0.0032,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,-0.0014000000000000123,-0.0105025,0.0098024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,far_diff,0.6,ewma_student_t,binary_student_t,0.0012000000000000066,-0.0054,0.0073999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,-0.0013000000000000234,-0.0042999999999999,0.0029,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
jump_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,-0.0021000000000000185,-0.011,0.0094999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,detection_diff,1.0,ewma_student_t,binary_student_t,0.0927,0.0740974999999999,0.1129025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,detection_diff,0.6,ewma_student_t,binary_student_t,0.0506,0.0305999999999999,0.0713024999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,-0.0421,-0.0595999999999999,-0.0244974999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.05,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0161999999999999,0.0107974999999999,0.0256999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.0128999999999999,0.0051975,0.0232,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-0.0033,-0.0145025,0.0075024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.05,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.2542,0.2351949999999999,0.2749999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.1299,0.1117975,0.1514,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.1243,-0.1402024999999999,-0.1066925,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.05,far_diff,1.0,ewma_student_t,binary_student_t,-0.0005999999999999964,-0.0069025,0.0047,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0006999999999999992,-0.0013,0.004,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.004700000000000003,-0.0018,0.0116,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,far_diff,0.6,ewma_student_t,binary_student_t,-0.0033000000000000043,-0.0107025,0.0039024999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.001800000000000003,-0.0011,0.0056,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.05,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.004700000000000003,-0.0018999999999999,0.0123999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.15,detection_diff,1.0,ewma_student_t,binary_student_t,0.0579,0.0470999999999999,0.0718999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,detection_diff,0.6,ewma_student_t,binary_student_t,0.0592999999999999,0.0448974999999999,0.0755,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,0.0013999999999999,-0.0121,0.0141999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.15,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0090999999999999,0.0031999999999999,0.0131999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,0.0078,0.0012,0.0140025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-0.0012999999999999,-0.0073,0.0063025,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.15,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.1885,0.1699,0.2042025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.1367,0.1217975,0.1521025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_jump,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.0518,-0.0662075,-0.0363949999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_jump,0.15,far_diff,1.0,ewma_student_t,binary_student_t,0.004399999999999987,-0.0053024999999999,0.0148,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_jump,0.15,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,-0.0010000000000000009,-0.0060025,0.0035999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
