scenario,sharpe_valid,method,far_target,threshold_calibrated_over,threshold,far_at_own_H,detect_at_own_H,n_test_valid,note,far_extended_to_d63,detect_extended_to_d63,far_extended_to_d126,detect_extended_to_d126,far_extended_to_d252,detect_extended_to_d252,far_extended_to_d504,detect_extended_to_d504
sv_jump,0.6,binary_gaussian,0.15,126,-0.5163587133333066,0.1364,0.2267,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0601,0.083,0.1364,0.2267,0.2465,0.4371,0.3601,0.6498
sv_jump,0.6,binary_gaussian,0.15,252,-0.7179427278695631,0.1339,0.2784,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0209,0.0262,0.0614,0.1042,0.1339,0.2784,0.2325,0.5142
sv_jump,0.6,binary_student_t,0.05,63,-0.586477507503864,0.0388,0.0732,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0388,0.0732,0.1171,0.2292,0.2159,0.4597,0.3167,0.6784
sv_jump,0.6,binary_student_t,0.05,126,-0.8047112063732023,0.0421,0.0958,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0089,0.0158,0.0421,0.0958,0.1075,0.2933,0.1939,0.5444
sv_jump,0.6,binary_student_t,0.05,252,-1.1012677546719185,0.0365,0.1327,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0007,0.0012,0.0085,0.0217,0.0365,0.1327,0.0927,0.3796
sv_jump,0.6,binary_student_t,0.15,63,-0.39907850369600606,0.1364,0.2174,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1364,0.2174,0.2532,0.4311,0.3646,0.6358,0.46,0.7949
sv_jump,0.6,binary_student_t,0.15,126,-0.5438799962536687,0.141,0.2721,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0534,0.098,0.141,0.2721,0.2434,0.4997,0.345,0.7082
sv_jump,0.6,binary_student_t,0.15,252,-0.7217783088247411,0.1438,0.3554,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0151,0.029,0.0646,0.1388,0.1438,0.3554,0.2353,0.5998
sv_jump,0.6,ewma_student_t,0.05,63,-0.7722278957967079,0.0422,0.0984,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0422,0.0984,0.1349,0.294,0.251,0.5366,0.3512,0.7525
sv_jump,0.6,ewma_student_t,0.05,126,-1.15875947960967,0.0428,0.1301,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0057,0.0179,0.0428,0.1301,0.1121,0.3452,0.1997,0.6077
sv_jump,0.6,ewma_student_t,0.05,252,-1.6172863225755871,0.0384,0.1899,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0003,0.002,0.0086,0.044,0.0384,0.1899,0.0967,0.4505
sv_jump,0.6,ewma_student_t,0.15,63,-0.528207811439179,0.1366,0.24,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1366,0.24,0.2754,0.469,0.3996,0.6796,0.4952,0.836
sv_jump,0.6,ewma_student_t,0.15,126,-0.7705428146494162,0.1354,0.2949,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0424,0.0989,0.1354,0.2949,0.2515,0.5378,0.3518,0.7529
sv_jump,0.6,ewma_student_t,0.15,252,-1.063361573542763,0.1375,0.3881,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.009,0.0289,0.0557,0.1588,0.1375,0.3881,0.2299,0.6444
sv_jump,0.6,ewma_trunc_student_t,0.05,63,-0.7852845580853787,0.0426,0.1013,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0426,0.1013,0.1427,0.3036,0.2623,0.5505,0.363,0.7648
sv_jump,0.6,ewma_trunc_student_t,0.05,126,-1.1880230614144889,0.0421,0.1365,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0054,0.0167,0.0421,0.1365,0.1159,0.3605,0.2056,0.6219
sv_jump,0.6,ewma_trunc_student_t,0.05,252,-1.6647596227982158,0.0396,0.2009,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0001,0.0015,0.009,0.0477,0.0396,0.2009,0.0989,0.4672
sv_jump,0.6,ewma_trunc_student_t,0.15,63,-0.537598732259442,0.1377,0.247,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1377,0.247,0.2836,0.4821,0.4082,0.6895,0.5006,0.8445
sv_jump,0.6,ewma_trunc_student_t,0.15,126,-0.7947839171115616,0.1395,0.2993,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0404,0.0987,0.1395,0.2993,0.2581,0.5464,0.3585,0.7617
sv_jump,0.6,ewma_trunc_student_t,0.15,252,-1.1105011377531695,0.1366,0.3941,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0081,0.0239,0.055,0.158,0.1366,0.3941,0.2298,0.6516
