scenario,sharpe_valid,method,true_state,day,n_paths,median_q,q10,q90,mean_q
sv_ctrl,1.0,binary_student_t,valid,504,10000,0.2091135953670636,0.03648073420307008,0.6575169526139943,0.2818627107140654
sv_ctrl,1.0,binary_student_t,invalid,63,10000,0.5433469213412262,0.3727512651807597,0.697005294529001,0.5381711372271464
sv_ctrl,1.0,binary_student_t,invalid,126,10000,0.584093682307245,0.3419099542551351,0.7822057670399687,0.5716439949618439
sv_ctrl,1.0,binary_student_t,invalid,252,10000,0.6572692576051745,0.3253023921903769,0.8793462000976608,0.6287976439020292
sv_ctrl,1.0,binary_student_t,invalid,504,10000,0.7876004778125517,0.34777237804995287,0.9607205409024208,0.7175894286467532
sv_ctrl,1.0,ewma_gaussian,valid,63,10000,0.4538442404707287,0.26999598769915767,0.6363491264611941,0.4532223965162242
sv_ctrl,1.0,ewma_gaussian,valid,126,10000,0.3973173604334377,0.14297863476964603,0.6800741841471244,0.4066944795551537
sv_ctrl,1.0,ewma_gaussian,valid,252,10000,0.28396638226771787,0.043970179849363154,0.7051230282896307,0.3327518037529639
sv_ctrl,1.0,ewma_gaussian,valid,504,10000,0.12424604961292997,0.005272428868327622,0.6782120347690008,0.23587857149631464
sv_ctrl,1.0,ewma_gaussian,invalid,63,10000,0.548178615025598,0.3542579987167896,0.7340411932819513,0.5458996729721788
sv_ctrl,1.0,ewma_gaussian,invalid,126,10000,0.6052898617372876,0.3177465389044596,0.8581053848524015,0.5944890276016668
sv_ctrl,1.0,ewma_gaussian,invalid,252,10000,0.7126179000166981,0.29144972448538536,0.9592463641293869,0.6663803568683767
sv_ctrl,1.0,ewma_gaussian,invalid,504,10000,0.8786255911176957,0.3400509645215843,0.9949192000823229,0.7687211172994519
sv_ctrl,1.0,ewma_student_t,valid,63,10000,0.4469070217465571,0.23656901973886343,0.6525721467130992,0.4460567309836252
sv_ctrl,1.0,ewma_student_t,valid,126,10000,0.3856897571215707,0.1137483645190788,0.6940136709351443,0.3960766105725511
sv_ctrl,1.0,ewma_student_t,valid,252,10000,0.2607693888456184,0.030959274003942747,0.7155256897115653,0.31905332332554154
sv_ctrl,1.0,ewma_student_t,valid,504,10000,0.09589508806228526,0.002893158025619312,0.6762166477454082,0.22069705243143725
sv_ctrl,1.0,ewma_student_t,invalid,63,10000,0.5572909514085225,0.34007263111611924,0.7704574055383745,0.5556282862354698
sv_ctrl,1.0,ewma_student_t,invalid,126,10000,0.6184903935854157,0.3052414091862435,0.8916837684145957,0.606413973409533
sv_ctrl,1.0,ewma_student_t,invalid,252,10000,0.7408676888702287,0.28417216028247694,0.9713259684527307,0.6808805696761538
sv_ctrl,1.0,ewma_student_t,invalid,504,10000,0.9057848908362147,0.340403611794426,0.9974436131934824,0.7840857738681987
sv_ctrl,1.0,ewma_trunc_gaussian,valid,63,10000,0.45360757410092595,0.2697914251675645,0.6364860840333036,0.45316987557260857
sv_ctrl,1.0,ewma_trunc_gaussian,valid,126,10000,0.3969983168687178,0.1422235665862511,0.6805167415380975,0.4065884033464753
sv_ctrl,1.0,ewma_trunc_gaussian,valid,252,10000,0.28383849070786915,0.04373661287472823,0.705228191051796,0.33254554735352826
sv_ctrl,1.0,ewma_trunc_gaussian,valid,504,10000,0.12400645622099202,0.005183496491420827,0.6786685685060226,0.23565918133587974
sv_ctrl,1.0,ewma_trunc_gaussian,invalid,63,10000,0.548178615025598,0.35386286416695356,0.7340411932819513,0.5459695080980009
sv_ctrl,1.0,ewma_trunc_gaussian,invalid,126,10000,0.6055568996420222,0.31769677693260057,0.8588889567171992,0.5947022133185397
sv_ctrl,1.0,ewma_trunc_gaussian,invalid,252,10000,0.7130496918353959,0.29303686021208025,0.9597110334579244,0.6666135669421729
sv_ctrl,1.0,ewma_trunc_gaussian,invalid,504,10000,0.8791859871465117,0.3426806344281299,0.9949818387606653,0.768997107961021
sv_ctrl,1.0,ewma_trunc_student_t,valid,63,10000,0.4468435777988075,0.23632441784969288,0.6525885892471184,0.4460302077617027
sv_ctrl,1.0,ewma_trunc_student_t,valid,126,10000,0.38564272162829993,0.1134548677694948,0.6941666104201308,0.39602299088928267
sv_ctrl,1.0,ewma_trunc_student_t,valid,252,10000,0.2604514188611886,0.03080666608475392,0.7152463009743335,0.3189410658099239
sv_ctrl,1.0,ewma_trunc_student_t,valid,504,10000,0.09585648300597416,0.00283245911329052,0.6781893333725485,0.22058572756166372
sv_ctrl,1.0,ewma_trunc_student_t,invalid,63,10000,0.5574159726281409,0.33967915013492417,0.7707907559022555,0.5556686683176504
sv_ctrl,1.0,ewma_trunc_student_t,invalid,126,10000,0.6192045684487997,0.30495900852714164,0.8919582121938128,0.6065211623662782
sv_ctrl,1.0,ewma_trunc_student_t,invalid,252,10000,0.7418782540606912,0.28445556399990435,0.9714543419354859,0.6809950149791851
sv_ctrl,1.0,ewma_trunc_student_t,invalid,504,10000,0.9062917199946312,0.339628775198979,0.9974654770570652,0.7842134505641618
sv_ctrl,0.6,binary_gaussian,valid,63,10000,0.48873048532558694,0.4026804095015023,0.5706521487970831,0.48850880200953317
sv_ctrl,0.6,binary_gaussian,valid,126,10000,0.4775931373108713,0.35622059592512545,0.6014854532466872,0.4779834888024152
sv_ctrl,0.6,binary_gaussian,valid,252,10000,0.4521694403536376,0.28475768296706866,0.6333329859890048,0.4564073386278538
sv_ctrl,0.6,binary_gaussian,valid,504,10000,0.4082108749712035,0.18958569654056423,0.6651969500847458,0.4191575883673588
