scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,1.0,ewma_student_t,0.05,B,63,63,-1.1220835281214385,0.7543749849714424,0.0978,0.0921315573460083,0.10377733094336396,0.038,0.0344265516422164,0.04192826285228877,61.3926,0.06013474987737357,0.9022,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,B,63,63,-1.1220835281214385,0.7543749849714424,0.098,0.09232618158514345,0.10398255310488054,0.038,0.0344265516422164,0.04192826285228877,61.3918,0.06014275510066952,0.902,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,B,126,126,-1.201332115706354,0.7687616747050203,0.1475,0.14068527185090007,0.15458544700042692,0.041,0.037286589733032234,0.04506592077124887,120.5091,0.1626521358320544,0.8525,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,B,126,126,-1.4543440472509204,0.8106660869310298,0.1414,0.13470844978198393,0.1483669538494653,0.0422,0.03843221799684181,0.046319370911349675,120.8272,0.1563855481173564,0.8586,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,B,126,126,-1.5160449854908506,0.8199553461055079,0.1374,0.13079154559496972,0.14428693002344492,0.0433,0.03948313833238368,0.04746760577939231,121.0758,0.15209463736066237,0.8626,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,B,126,126,-1.5160449854908506,0.8199553461055079,0.1375,0.13088944509917524,0.1443889537195653,0.0433,0.03948313833238368,0.04746760577939231,121.0692,0.1521514250397089,0.8625,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,B,252,252,-1.5892620264256552,0.8305122500215293,0.2185,0.21050980050927479,0.2267063905734161,0.0428,0.03900535884286428,0.046945769267282375,234.2699,0.4092929726647494,0.7815,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,B,252,252,-1.948742863411744,0.8753094991547637,0.2026,0.19483706820858201,0.21059133402229643,0.0421,0.03833671543427698,0.04621495027358863,235.5552,0.39388004448682656,0.7974,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,B,252,252,-2.0570208857707684,0.886655120141672,0.1942,0.18656473063500323,0.20207012276850256,0.0407,0.03700032210807924,0.044752418795224264,236.7109,0.37991054910535477,0.8058,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,B,252,252,-2.0570208857707684,0.886655120141672,0.1942,0.18656473063500323,0.20207012276850256,0.0407,0.03700032210807924,0.044752418795224264,236.7055,0.3799427491402651,0.8058,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,B,504,504,-2.0820612857231775,0.8891473655602092,0.3346,0.3254169722612255,0.3439100543997942,0.0395,0.03585582726190139,0.04349783523749174,444.4368,1.0410119169140744,0.6654,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,B,504,504,-2.526856588881281,0.9260032512226124,0.3165,0.3074559440392215,0.3256849833628167,0.0404,0.03671411143577194,0.04443885986655398,447.4699,1.0222783548048302,0.6835,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,B,504,504,-2.686599084431972,0.9362312401458265,0.2982,0.28931267410254535,0.3072423076398597,0.0395,0.03585582726190139,0.04349783523749174,451.8804,0.980654249906554,0.7018,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,B,504,504,-2.686599084431972,0.9362312401458265,0.2983,0.28941177190154505,0.3073431330411858,0.0395,0.03585582726190139,0.04349783523749174,451.8642,0.9807369679664543,0.7017,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.15,A,63,504,-1.381049786033732,0.7991595475678746,0.0114,0.009498871053053342,0.013676372154771826,0.0017,0.0010617073611205118,0.0027209854150957833,62.8806,0.014466350318209252,0.9886,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.15,A,63,504,-1.7089217126712484,0.846696373105255,0.009,0.007328320093401381,0.011048766306603034,0.0018,0.0011389279915130562,0.0028436879850291027,62.9162,0.01169920694510164,0.991,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.15,A,63,504,-1.8060670697168448,0.8588858719323355,0.0062,0.0048397848118849635,0.007939451978995241,0.0017,0.0010617073611205118,0.0027209854150957833,62.9394,0.009880411239043912,0.9938,,not reached within 63d,63,10000,10000
