object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
usdjpy,sv_jump,contrast,tails (counts),6,6.0,1.0,,,
usdjpy,sv_jump,contrast,persistence,5,5.0,1.0,,,
usdjpy,sv_jump,contrast,concentration,1,1.0,1.0,,,
usdjpy,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
usdjpy,sv_jump,contrast,W1 / sim-sim reference,1,,,0.0886300698125149,0.1015411409180622,0.8728488670817104
usdjpy,sv_jump,describe,volatility range,3,2.0,0.6666666666666666,,,
usdjpy,sv_jump,describe,tails (counts),6,6.0,1.0,,,
usdjpy,sv_jump,describe,persistence,5,4.0,0.8,,,
usdjpy,sv_jump,describe,concentration,1,1.0,1.0,,,
usdjpy,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
usdjpy,sv_jump,describe,W1 / sim-sim reference,1,,,0.0703984062030379,0.0687938338638426,1.0233243627963968
