scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
jump,native,tail_below_m5_freq,0.000794912559618442,0.0,0.003179650238473768,2.4575071037542176e-05,2000,0.0023847376788553257,True
jump,native,tail_above_p5_freq,0.000794912559618442,0.0,0.003179650238473768,2.4503258955610514e-05,2000,0.003179650238473768,True
jump,native,acf_ret_lag1,-0.0020820258885346477,-0.05558423960188289,0.05170278688779414,0.0007709653024720897,2000,-0.24396953335811908,False
jump,native,acf_ret_lag5,-0.000900017447036029,-0.05521406632087868,0.05341961993856051,0.0007860100343221435,2000,0.07865234975544919,False
jump,native,acf_ret_lag10,-0.0016517657856392333,-0.05634461917223347,0.05489609733721492,0.0007843156334700279,2000,-0.07868045072246492,False
jump,native,acf_ret_lag21,-0.00029210023095843553,-0.055981824850722804,0.05314039722706921,0.0007736404678975553,2000,0.06479069799423903,False
jump,native,acf_ret_lag63,-0.0008586885879098942,-0.061695645874419905,0.057498762732197395,0.000831734466128379,2000,0.06187167625917269,False
jump,native,acf_absret_lag1,-0.001576339381175392,-0.05347362189225139,0.055267464210264176,0.0008008179559224121,2000,0.5007227427362637,False
jump,native,acf_absret_lag5,-0.001572163073748104,-0.0533958060121627,0.05414528857599855,0.0007813377322646858,2000,0.4146461452146091,False
jump,native,acf_absret_lag10,-0.0009677300411075355,-0.05260873891540796,0.05873314008880333,0.0007984239064258469,2000,0.3659590462564185,False
jump,native,acf_absret_lag21,-0.0021955537221169472,-0.05402722703622028,0.05859615376530096,0.0008082300168228665,2000,0.15840447240997177,False
jump,native,acf_absret_lag63,-0.0006330211997541122,-0.05234438492295873,0.06019572779978662,0.0008048754591522284,2000,0.039974696337049836,True
jump,native,acf_sqret_lag1,-0.005471909307619748,-0.031182178845863027,0.053562959733762204,0.0007714323668805323,2000,0.5332894519731963,False
jump,native,acf_sqret_lag5,-0.004873307124660205,-0.030774880144868608,0.05073866262992179,0.0007179901940059903,2000,0.33648374197445374,False
jump,native,acf_sqret_lag10,-0.00418669070048883,-0.0316256390650022,0.04799775842316221,0.0006823882896200404,2000,0.25860000769071245,False
jump,native,acf_sqret_lag21,-0.004453750755696655,-0.03221167282096926,0.0550058213215141,0.0007914269304361454,2000,0.04858286728322976,True
jump,native,acf_sqret_lag63,-0.004514495367896569,-0.03148069032550965,0.05668580334568058,0.0007586830040860465,2000,0.037394822586824354,True
jump,native,leadlag_ret_vs_future_sq_lag1,0.00013097920483714698,-0.050785533442673884,0.05425209491595864,0.0007694986197875719,2000,-0.09471016076162476,False
jump,native,leadlag_ret_vs_future_sq_lag5,-0.0001709520622674116,-0.05342195532439051,0.05532506204647545,0.0007886596645157117,2000,-0.06824443785000317,False
jump,native,leadlag_ret_vs_future_sq_lag21,-0.00014497486446824468,-0.05175052943940012,0.05878220520224881,0.0007846937964387979,2000,-0.05072095039065012,True
jump,native,agg1d_sd,0.006255744299395475,0.005786455142323154,0.006982054773033279,8.458123104839471e-06,2000,0.012118087297484344,False
jump,native,agg1d_skewness,-0.01115602918174528,-1.7010810218623167,1.6259066984848785,0.02268082002081337,2000,-0.7389961323250143,True
jump,native,agg1d_excess_kurtosis,6.736967595270967,0.3192612514706922,28.806276244729478,0.21806311173150825,2000,20.367350270538573,True
jump,native,agg1d_n_blocks,1258.0,1258.0,1258.0,0.0,2000,1258.0,True
jump,native,agg5d_sd,0.013964036596644223,0.012469847317593088,0.015855320953392316,2.4511584234917694e-05,2000,0.020960471928423846,False
jump,native,agg5d_skewness,0.030672388028481032,-0.8691865992408261,0.8706364009998404,0.011694064739650007,2000,-1.0487041835443138,False
jump,native,agg5d_excess_kurtosis,1.0822837858285643,-0.26575734900611914,6.218634512122821,0.051171970703631324,2000,5.931460248671447,True
jump,native,agg5d_n_blocks,251.0,251.0,251.0,0.0,2000,251.0,True
jump,native,agg21d_sd,0.028496691631734995,0.023410539207922746,0.03464390897957137,8.005280519871314e-05,2000,0.04209813495638222,False
jump,native,agg21d_skewness,0.07685517526719493,-0.6914246322931945,0.8447951558432734,0.01105500821173473,2000,-0.59184386699657,True
jump,native,agg21d_excess_kurtosis,0.028791487006101457,-0.8403659914456212,2.568555718834942,0.02758653505179844,2000,1.5622695674048126,True
jump,native,agg21d_n_blocks,59.0,59.0,59.0,0.0,2000,59.0,True
jump,native,w1_vs_market_standardised,0.2483914345513264,0.1899462065342714,0.2972019421139112,0.0007573598235488071,2000,,
jump,native,w1_sim_vs_sim_reference,0.053594009666434315,0.02881266486773223,0.11516269878012722,0.0009010503416944107,1000,,
jump,matched,sd_daily,0.012054535276212435,0.01112517833870562,0.01344283260701953,1.665722757817555e-05,2000,0.012118087297484344,True
jump,matched,skewness,-0.029441436762102046,-1.8001890219998298,1.5956161440364303,0.023453885845078213,2000,-0.7389961323250143,True
jump,matched,excess_kurtosis,6.9877580277134195,0.4240779708626076,29.034851611633034,0.22284548419008568,2000,20.367350270538573,True
jump,matched,rv21_q10,0.14063852195050755,0.13133592748164666,0.1491406259390602,0.00012354626428978785,2000,0.06272305159358481,False
jump,matched,rv21_q50,0.1766528452294565,0.1680581496762658,0.18520773755408454,0.00012131973704336213,2000,0.11036933306935255,False
jump,matched,rv21_q90,0.2266394813983646,0.20825321164445593,0.28180277972175777,0.0005370013894774472,2000,0.24178335481744329,True
jump,matched,concentration_max_exceed_63d,2.0,1.0,3.0,0.018346146612728695,2000,16.0,False
jump,matched,tail_below_m2_count,22.0,12.0,32.0,0.140422892975071,2000,37.0,False
jump,matched,tail_above_p2_count,21.0,12.0,32.0,0.14350087327182728,2000,18.0,True
jump,matched,tail_below_m2_freq,0.017488076311605722,0.009538950715421303,0.025437201907790145,0.00011162392128384024,2000,0.029411764705882353,False
jump,matched,tail_above_p2_freq,0.016693163751987282,0.009538950715421303,0.025437201907790145,0.00011407064647998991,2000,0.014308426073131956,True
jump,matched,tail_below_m3_count,3.0,1.0,7.0,0.04422605379286361,2000,11.0,False
jump,matched,tail_above_p3_count,3.0,0.0,7.0,0.045672072924418515,2000,9.0,False
jump,matched,tail_below_m3_freq,0.0023847376788553257,0.000794912559618442,0.005564387917329093,3.51558456223081e-05,2000,0.008744038155802861,False
jump,matched,tail_above_p3_freq,0.0023847376788553257,0.0,0.005564387917329093,3.630530439142965e-05,2000,0.007154213036565978,False
