object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,comparison
nasdaq100,gaussian,describe,rv21_q10_over_own_sd,0.40170794462283027,0.7913668759235254,0.7543910206617541,0.8237386628968308,False,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,gaussian,describe,rv21_q50_over_own_sd,0.6891267992122312,0.9837832614460178,0.9639082278747515,1.0012292543751182,False,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,gaussian,describe,rv21_q90_over_own_sd,1.3799925105221056,1.1898163355389846,1.1578906097465116,1.2280476348072247,False,1258,0.22616448309739204,"shape (each series divided by its own annualised sd, inside the path)"
nasdaq100,gaussian,describe,w1_vs_market_standardised,,0.23321375389620647,0.2135611366211277,0.2525964347136157,,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,w1_sim_vs_sim_reference,,0.031654085088973674,0.020652640172096406,0.050004413905855326,,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_below_m2_count,42.0,29.0,21.0,37.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_below_m3_count,12.0,2.0,0.0,4.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_below_m5_count,2.0,0.0,0.0,0.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p2_count,23.0,28.0,20.0,37.0,True,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p3_count,10.0,2.0,0.0,4.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_above_p5_count,3.0,0.0,0.0,0.0,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_below_m2_freq,0.033386327503974564,0.023052464228934817,0.016693163751987282,0.029411764705882353,False,1258,0.22616448309739204,scale-free
nasdaq100,gaussian,describe,tail_below_m3_freq,0.009538950715421303,0.001589825119236884,0.0,0.003179650238473768,False,1258,0.22616448309739204,scale-free
